Topic,QuestionCategory,LocationDesc,Education,Income,Gender,% Adults W. Obesity,% Adults Exercise Weekly,% Adults Do not exercise,% Adults Eat Vegetable or Fruit Daily
Fruits and Vegetables - Behavior,Income,California,,"$25,000 - $34,999",,,,,25.95
Fruits and Vegetables - Behavior,Income,California,,"$35,000 - $49,999",,,,,25
Fruits and Vegetables - Behavior,Income,California,,"$50,000 - $74,999",,,,,24.33333333
Fruits and Vegetables - Behavior,Income,California,,"$75,000 or greater",,,,,20.33333333
Fruits and Vegetables - Behavior,Income,California,,"Less than $15,000",,,,,30.95
Fruits and Vegetables - Behavior,Race/Ethnicity,California,,,,,,,27.54
Fruits and Vegetables - Behavior,Total,California,,,,,,,24.83333333
Fruits and Vegetables - Behavior,Education,Colorado,College graduate,,,,,,20.06666667
Fruits and Vegetables - Behavior,Education,Colorado,High school graduate,,,,,,33.76666667
Fruits and Vegetables - Behavior,Education,Colorado,Less than high school,,,,,,36.3
Fruits and Vegetables - Behavior,Education,Colorado,Some college or technical school,,,,,,27.05
Fruits and Vegetables - Behavior,Age (years),Colorado,,,,,,,27.45
Fruits and Vegetables - Behavior,Gender,Colorado,,,Female,,,,23.43333333
Fruits and Vegetables - Behavior,Gender,Colorado,,,Male,,,,31.03333333
Fruits and Vegetables - Behavior,Income,Colorado,,"$15,000 - $24,999",,,,,31.65
Fruits and Vegetables - Behavior,Income,Colorado,,"$25,000 - $34,999",,,,,30.25
Fruits and Vegetables - Behavior,Income,Colorado,,"$35,000 - $49,999",,,,,27.91666667
Fruits and Vegetables - Behavior,Income,Colorado,,"$50,000 - $74,999",,,,,25.3
Fruits and Vegetables - Behavior,Income,Colorado,,"$75,000 or greater",,,,,21.78333333
Fruits and Vegetables - Behavior,Income,Colorado,,"Less than $15,000",,,,,36.96666667
Fruits and Vegetables - Behavior,Race/Ethnicity,Colorado,,,,,,,28.7225
Fruits and Vegetables - Behavior,Total,Colorado,,,,,,,27.2
Fruits and Vegetables - Behavior,Education,Connecticut,College graduate,,,,,,19.43333333
Fruits and Vegetables - Behavior,Education,Connecticut,High school graduate,,,,,,32.73333333
Fruits and Vegetables - Behavior,Education,Connecticut,Less than high school,,,,,,38.28333333
Fruits and Vegetables - Behavior,Education,Connecticut,Some college or technical school,,,,,,26.75
Fruits and Vegetables - Behavior,Age (years),Connecticut,,,,,,,27.73333333
Fruits and Vegetables - Behavior,Gender,Connecticut,,,Female,,,,23.36666667
Fruits and Vegetables - Behavior,Gender,Connecticut,,,Male,,,,31.45
Fruits and Vegetables - Behavior,Income,Connecticut,,"$15,000 - $24,999",,,,,32.43333333
Fruits and Vegetables - Behavior,Income,Connecticut,,"$25,000 - $34,999",,,,,28.76666667
Fruits and Vegetables - Behavior,Income,Connecticut,,"$35,000 - $49,999",,,,,28.38333333
Fruits and Vegetables - Behavior,Income,Connecticut,,"$50,000 - $74,999",,,,,25.23333333
Fruits and Vegetables - Behavior,Income,Connecticut,,"$75,000 or greater",,,,,21.68333333
Fruits and Vegetables - Behavior,Income,Connecticut,,"Less than $15,000",,,,,40.15
Fruits and Vegetables - Behavior,Race/Ethnicity,Connecticut,,,,,,,29.83888889
Fruits and Vegetables - Behavior,Total,Connecticut,,,,,,,27.25
Fruits and Vegetables - Behavior,Education,Delaware,College graduate,,,,,,23.5
Fruits and Vegetables - Behavior,Education,Delaware,High school graduate,,,,,,37.13333333
Fruits and Vegetables - Behavior,Education,Delaware,Less than high school,,,,,,41
Fruits and Vegetables - Behavior,Education,Delaware,Some college or technical school,,,,,,29.88333333
Fruits and Vegetables - Behavior,Age (years),Delaware,,,,,,,32.31666667
Fruits and Vegetables - Behavior,Gender,Delaware,,,Female,,,,28.23333333
Fruits and Vegetables - Behavior,Gender,Delaware,,,Male,,,,35.8
Fruits and Vegetables - Behavior,Income,Delaware,,"$15,000 - $24,999",,,,,37.75
Fruits and Vegetables - Behavior,Income,Delaware,,"$25,000 - $34,999",,,,,33.01666667
Fruits and Vegetables - Behavior,Income,Delaware,,"$35,000 - $49,999",,,,,32.65
Fruits and Vegetables - Behavior,Income,Delaware,,"$50,000 - $74,999",,,,,30.21666667
Fruits and Vegetables - Behavior,Income,Delaware,,"$75,000 or greater",,,,,25.8
Fruits and Vegetables - Behavior,Income,Delaware,,"Less than $15,000",,,,,41.01666667
Fruits and Vegetables - Behavior,Race/Ethnicity,Delaware,,,,,,,31.73571429
Fruits and Vegetables - Behavior,Total,Delaware,,,,,,,31.86666667
Fruits and Vegetables - Behavior,Education,District of Columbia,College graduate,,,,,,19.73333333
Fruits and Vegetables - Behavior,Education,District of Columbia,High school graduate,,,,,,34.71666667
Fruits and Vegetables - Behavior,Education,District of Columbia,Less than high school,,,,,,44.5
Fruits and Vegetables - Behavior,Education,District of Columbia,Some college or technical school,,,,,,28.93333333
Fruits and Vegetables - Behavior,Age (years),District of Columbia,,,,,,,27.61388889
Fruits and Vegetables - Behavior,Gender,District of Columbia,,,Female,,,,24.6
Fruits and Vegetables - Behavior,Gender,District of Columbia,,,Male,,,,30.31666667
Fruits and Vegetables - Behavior,Income,District of Columbia,,"$15,000 - $24,999",,,,,33.91666667
Fruits and Vegetables - Behavior,Income,District of Columbia,,"$25,000 - $34,999",,,,,31.13333333
Fruits and Vegetables - Behavior,Income,District of Columbia,,"$35,000 - $49,999",,,,,31.58333333
Fruits and Vegetables - Behavior,Income,District of Columbia,,"$50,000 - $74,999",,,,,23.63333333
Fruits and Vegetables - Behavior,Income,District of Columbia,,"$75,000 or greater",,,,,18.8
Fruits and Vegetables - Behavior,Income,District of Columbia,,"Less than $15,000",,,,,40.33333333
Fruits and Vegetables - Behavior,Race/Ethnicity,District of Columbia,,,,,,,25.29020833
Fruits and Vegetables - Behavior,Total,District of Columbia,,,,,,,27.28333333
Fruits and Vegetables - Behavior,Education,Florida,College graduate,,,,,,22.53333333
Fruits and Vegetables - Behavior,Education,Florida,High school graduate,,,,,,33.66666667
Fruits and Vegetables - Behavior,Education,Florida,Less than high school,,,,,,37.11666667
Fruits and Vegetables - Behavior,Education,Florida,Some college or technical school,,,,,,28.91666667
Fruits and Vegetables - Behavior,Age (years),Florida,,,,,,,30.675
Fruits and Vegetables - Behavior,Gender,Florida,,,Female,,,,26.68333333
Fruits and Vegetables - Behavior,Gender,Florida,,,Male,,,,33.36666667
Fruits and Vegetables - Behavior,Income,Florida,,"$15,000 - $24,999",,,,,32.53333333
Fruits and Vegetables - Behavior,Income,Florida,,"$25,000 - $34,999",,,,,31.8
Fruits and Vegetables - Behavior,Income,Florida,,"$35,000 - $49,999",,,,,27.9
Fruits and Vegetables - Behavior,Income,Florida,,"$50,000 - $74,999",,,,,26.71666667
Fruits and Vegetables - Behavior,Income,Florida,,"$75,000 or greater",,,,,24.3
Fruits and Vegetables - Behavior,Income,Florida,,"Less than $15,000",,,,,40.63333333
Fruits and Vegetables - Behavior,Race/Ethnicity,Florida,,,,,,,30.73947368
Fruits and Vegetables - Behavior,Total,Florida,,,,,,,29.9
Fruits and Vegetables - Behavior,Education,Georgia,College graduate,,,,,,24.33333333
Fruits and Vegetables - Behavior,Education,Georgia,High school graduate,,,,,,39.05
Fruits and Vegetables - Behavior,Education,Georgia,Less than high school,,,,,,41.1
Fruits and Vegetables - Behavior,Education,Georgia,Some college or technical school,,,,,,32.16666667
Fruits and Vegetables - Behavior,Age (years),Georgia,,,,,,,33.84722222
Fruits and Vegetables - Behavior,Gender,Georgia,,,Female,,,,31
Fruits and Vegetables - Behavior,Gender,Georgia,,,Male,,,,36.33333333
Fruits and Vegetables - Behavior,Income,Georgia,,"$15,000 - $24,999",,,,,37.93333333
Fruits and Vegetables - Behavior,Income,Georgia,,"$25,000 - $34,999",,,,,36.1
Fruits and Vegetables - Behavior,Income,Georgia,,"$35,000 - $49,999",,,,,31.68333333
Fruits and Vegetables - Behavior,Income,Georgia,,"$50,000 - $74,999",,,,,30.43333333
Fruits and Vegetables - Behavior,Income,Georgia,,"$75,000 or greater",,,,,26.13333333
Fruits and Vegetables - Behavior,Income,Georgia,,"Less than $15,000",,,,,42.65
Fruits and Vegetables - Behavior,Race/Ethnicity,Georgia,,,,,,,31.84473684
Fruits and Vegetables - Behavior,Total,Georgia,,,,,,,33.58333333
Fruits and Vegetables - Behavior,Education,Guam,College graduate,,,,,,26.45
Fruits and Vegetables - Behavior,Education,Guam,High school graduate,,,,,,39
Fruits and Vegetables - Behavior,Education,Guam,Less than high school,,,,,,33.2
Fruits and Vegetables - Behavior,Education,Guam,Some college or technical school,,,,,,39.8
Fruits and Vegetables - Behavior,Age (years),Guam,,,,,,,34.81666667
Fruits and Vegetables - Behavior,Gender,Guam,,,Female,,,,32.05
Fruits and Vegetables - Behavior,Gender,Guam,,,Male,,,,38.3
Fruits and Vegetables - Behavior,Income,Guam,,"$15,000 - $24,999",,,,,38.7
Fruits and Vegetables - Behavior,Income,Guam,,"$25,000 - $34,999",,,,,34.9
Fruits and Vegetables - Behavior,Income,Guam,,"$35,000 - $49,999",,,,,38.6
Fruits and Vegetables - Behavior,Income,Guam,,"$50,000 - $74,999",,,,,28.15
Fruits and Vegetables - Behavior,Income,Guam,,"$75,000 or greater",,,,,27.05
Fruits and Vegetables - Behavior,Income,Guam,,"Less than $15,000",,,,,37.1
Fruits and Vegetables - Behavior,Race/Ethnicity,Guam,,,,,,,33.47
Fruits and Vegetables - Behavior,Total,Guam,,,,,,,35.2
Fruits and Vegetables - Behavior,Education,Hawaii,College graduate,,,,,,24.33333333
Fruits and Vegetables - Behavior,Education,Hawaii,High school graduate,,,,,,36.85
Fruits and Vegetables - Behavior,Education,Hawaii,Less than high school,,,,,,35.55
Fruits and Vegetables - Behavior,Education,Hawaii,Some college or technical school,,,,,,30.73333333
Fruits and Vegetables - Behavior,Age (years),Hawaii,,,,,,,31.84444444
Fruits and Vegetables - Behavior,Gender,Hawaii,,,Female,,,,27.33333333
Fruits and Vegetables - Behavior,Gender,Hawaii,,,Male,,,,35.05
Fruits and Vegetables - Behavior,Income,Hawaii,,"$15,000 - $24,999",,,,,35.06666667
Fruits and Vegetables - Behavior,Income,Hawaii,,"$25,000 - $34,999",,,,,29.38333333
Fruits and Vegetables - Behavior,Income,Hawaii,,"$35,000 - $49,999",,,,,32.16666667
Fruits and Vegetables - Behavior,Income,Hawaii,,"$50,000 - $74,999",,,,,29.78333333
Fruits and Vegetables - Behavior,Income,Hawaii,,"$75,000 or greater",,,,,27.1
Fruits and Vegetables - Behavior,Income,Hawaii,,"Less than $15,000",,,,,39.36666667
Fruits and Vegetables - Behavior,Race/Ethnicity,Hawaii,,,,,,,32.03235294
Fruits and Vegetables - Behavior,Total,Hawaii,,,,,,,31.18333333
Fruits and Vegetables - Behavior,Education,Idaho,College graduate,,,,,,20.8
Fruits and Vegetables - Behavior,Education,Idaho,High school graduate,,,,,,34.78333333
Fruits and Vegetables - Behavior,Education,Idaho,Less than high school,,,,,,36.38333333
Fruits and Vegetables - Behavior,Education,Idaho,Some college or technical school,,,,,,27.73333333
Fruits and Vegetables - Behavior,Age (years),Idaho,,,,,,,29.48611111
Fruits and Vegetables - Behavior,Gender,Idaho,,,Female,,,,24.98333333
Fruits and Vegetables - Behavior,Gender,Idaho,,,Male,,,,33.53333333
Fruits and Vegetables - Behavior,Income,Idaho,,"$15,000 - $24,999",,,,,33.01666667
Fruits and Vegetables - Behavior,Income,Idaho,,"$25,000 - $34,999",,,,,31.9
Fruits and Vegetables - Behavior,Income,Idaho,,"$35,000 - $49,999",,,,,28.71666667
Fruits and Vegetables - Behavior,Income,Idaho,,"$50,000 - $74,999",,,,,25.5
Fruits and Vegetables - Behavior,Income,Idaho,,"$75,000 or greater",,,,,22.28333333
Fruits and Vegetables - Behavior,Income,Idaho,,"Less than $15,000",,,,,38.21666667
Fruits and Vegetables - Behavior,Race/Ethnicity,Idaho,,,,,,,30.12916667
Fruits and Vegetables - Behavior,Total,Idaho,,,,,,,29.18333333
Fruits and Vegetables - Behavior,Education,Illinois,College graduate,,,,,,23.35
Fruits and Vegetables - Behavior,Education,Illinois,High school graduate,,,,,,35.88333333
Fruits and Vegetables - Behavior,Education,Illinois,Less than high school,,,,,,37.16666667
Fruits and Vegetables - Behavior,Education,Illinois,Some college or technical school,,,,,,30.4
Fruits and Vegetables - Behavior,Age (years),Illinois,,,,,,,31.1
Fruits and Vegetables - Behavior,Gender,Illinois,,,Female,,,,26.85
Fruits and Vegetables - Behavior,Gender,Illinois,,,Male,,,,34.91666667
Fruits and Vegetables - Behavior,Income,Illinois,,"$15,000 - $24,999",,,,,34.46666667
Fruits and Vegetables - Behavior,Income,Illinois,,"$25,000 - $34,999",,,,,33.96666667
Fruits and Vegetables - Behavior,Income,Illinois,,"$35,000 - $49,999",,,,,30.38333333
Fruits and Vegetables - Behavior,Income,Illinois,,"$50,000 - $74,999",,,,,30.11666667
Fruits and Vegetables - Behavior,Income,Illinois,,"$75,000 or greater",,,,,25.85
Fruits and Vegetables - Behavior,Income,Illinois,,"Less than $15,000",,,,,39.56666667
Fruits and Vegetables - Behavior,Race/Ethnicity,Illinois,,,,,,,30.79666667
Fruits and Vegetables - Behavior,Total,Illinois,,,,,,,30.78333333
Fruits and Vegetables - Behavior,Education,Indiana,College graduate,,,,,,23.85
Fruits and Vegetables - Behavior,Education,Indiana,High school graduate,,,,,,38.58333333
Fruits and Vegetables - Behavior,Education,Indiana,Less than high school,,,,,,46.25
Fruits and Vegetables - Behavior,Education,Indiana,Some college or technical school,,,,,,33.41666667
Fruits and Vegetables - Behavior,Age (years),Indiana,,,,,,,35.01944444
Fruits and Vegetables - Behavior,Gender,Indiana,,,Female,,,,30.76666667
Fruits and Vegetables - Behavior,Gender,Indiana,,,Male,,,,39.16666667
Fruits and Vegetables - Behavior,Income,Indiana,,"$15,000 - $24,999",,,,,39.41666667
Fruits and Vegetables - Behavior,Income,Indiana,,"$25,000 - $34,999",,,,,37.68333333
Fruits and Vegetables - Behavior,Income,Indiana,,"$35,000 - $49,999",,,,,34.66666667
Fruits and Vegetables - Behavior,Income,Indiana,,"$50,000 - $74,999",,,,,32.26666667
Fruits and Vegetables - Behavior,Income,Indiana,,"$75,000 or greater",,,,,25.96666667
Fruits and Vegetables - Behavior,Income,Indiana,,"Less than $15,000",,,,,44.91666667
Fruits and Vegetables - Behavior,Race/Ethnicity,Indiana,,,,,,,36.271875
Fruits and Vegetables - Behavior,Total,Indiana,,,,,,,34.83333333
Fruits and Vegetables - Behavior,Education,Iowa,College graduate,,,,,,24.43333333
Fruits and Vegetables - Behavior,Education,Iowa,High school graduate,,,,,,37.8
Fruits and Vegetables - Behavior,Education,Iowa,Less than high school,,,,,,43.6
Fruits and Vegetables - Behavior,Education,Iowa,Some college or technical school,,,,,,33.36666667
Fruits and Vegetables - Behavior,Age (years),Iowa,,,,,,,34.08333333
Fruits and Vegetables - Behavior,Gender,Iowa,,,Female,,,,28.08333333
Fruits and Vegetables - Behavior,Gender,Iowa,,,Male,,,,39.4
Fruits and Vegetables - Behavior,Income,Iowa,,"$15,000 - $24,999",,,,,37.65
Fruits and Vegetables - Behavior,Income,Iowa,,"$25,000 - $34,999",,,,,33.61666667
Fruits and Vegetables - Behavior,Income,Iowa,,"$35,000 - $49,999",,,,,34.36666667
Fruits and Vegetables - Behavior,Income,Iowa,,"$50,000 - $74,999",,,,,32.53333333
Fruits and Vegetables - Behavior,Income,Iowa,,"$75,000 or greater",,,,,28.68333333
Fruits and Vegetables - Behavior,Income,Iowa,,"Less than $15,000",,,,,42.3
Fruits and Vegetables - Behavior,Race/Ethnicity,Iowa,,,,,,,34.98181818
Fruits and Vegetables - Behavior,Total,Iowa,,,,,,,33.56666667
Fruits and Vegetables - Behavior,Education,Kansas,College graduate,,,,,,24.5
Fruits and Vegetables - Behavior,Education,Kansas,High school graduate,,,,,,37.51666667
Fruits and Vegetables - Behavior,Education,Kansas,Less than high school,,,,,,39.43333333
Fruits and Vegetables - Behavior,Education,Kansas,Some college or technical school,,,,,,32.51666667
Fruits and Vegetables - Behavior,Age (years),Kansas,,,,,,,32.65833333
Fruits and Vegetables - Behavior,Gender,Kansas,,,Female,,,,27.8
Fruits and Vegetables - Behavior,Gender,Kansas,,,Male,,,,37.21666667
Fruits and Vegetables - Behavior,Income,Kansas,,"$15,000 - $24,999",,,,,35.61666667
Fruits and Vegetables - Behavior,Income,Kansas,,"$25,000 - $34,999",,,,,33.71666667
Fruits and Vegetables - Behavior,Income,Kansas,,"$35,000 - $49,999",,,,,32.65
Fruits and Vegetables - Behavior,Income,Kansas,,"$50,000 - $74,999",,,,,30.78333333
Fruits and Vegetables - Behavior,Income,Kansas,,"$75,000 or greater",,,,,26.98333333
Fruits and Vegetables - Behavior,Income,Kansas,,"Less than $15,000",,,,,41.2
Fruits and Vegetables - Behavior,Race/Ethnicity,Kansas,,,,,,,33.0575
Fruits and Vegetables - Behavior,Total,Kansas,,,,,,,32.38333333
Fruits and Vegetables - Behavior,Education,Kentucky,College graduate,,,,,,26.01666667
Fruits and Vegetables - Behavior,Education,Kentucky,High school graduate,,,,,,39.21666667
Fruits and Vegetables - Behavior,Education,Kentucky,Less than high school,,,,,,44.58333333
Fruits and Vegetables - Behavior,Education,Kentucky,Some college or technical school,,,,,,32.95
Fruits and Vegetables - Behavior,Age (years),Kentucky,,,,,,,35.91666667
Fruits and Vegetables - Behavior,Gender,Kentucky,,,Female,,,,32.65
Fruits and Vegetables - Behavior,Gender,Kentucky,,,Male,,,,38.75
Fruits and Vegetables - Behavior,Income,Kentucky,,"$15,000 - $24,999",,,,,39.28333333
Fruits and Vegetables - Behavior,Income,Kentucky,,"$25,000 - $34,999",,,,,38.46666667
Fruits and Vegetables - Behavior,Income,Kentucky,,"$35,000 - $49,999",,,,,35.03333333
Fruits and Vegetables - Behavior,Income,Kentucky,,"$50,000 - $74,999",,,,,33.81666667
Fruits and Vegetables - Behavior,Income,Kentucky,,"$75,000 or greater",,,,,27.75
Fruits and Vegetables - Behavior,Income,Kentucky,,"Less than $15,000",,,,,45.05
Fruits and Vegetables - Behavior,Race/Ethnicity,Kentucky,,,,,,,36.33125
Fruits and Vegetables - Behavior,Total,Kentucky,,,,,,,35.61666667
Fruits and Vegetables - Behavior,Education,Louisiana,College graduate,,,,,,30.36666667
Fruits and Vegetables - Behavior,Education,Louisiana,High school graduate,,,,,,43.86666667
Fruits and Vegetables - Behavior,Education,Louisiana,Less than high school,,,,,,47.06666667
Fruits and Vegetables - Behavior,Education,Louisiana,Some college or technical school,,,,,,38.2
Fruits and Vegetables - Behavior,Age (years),Louisiana,,,,,,,40.38055556
Fruits and Vegetables - Behavior,Gender,Louisiana,,,Female,,,,37.36666667
Fruits and Vegetables - Behavior,Gender,Louisiana,,,Male,,,,43.15
Fruits and Vegetables - Behavior,Income,Louisiana,,"$15,000 - $24,999",,,,,44.73333333
Fruits and Vegetables - Behavior,Income,Louisiana,,"$25,000 - $34,999",,,,,37.91666667
Fruits and Vegetables - Behavior,Income,Louisiana,,"$35,000 - $49,999",,,,,39.73333333
Fruits and Vegetables - Behavior,Income,Louisiana,,"$50,000 - $74,999",,,,,35.85
Fruits and Vegetables - Behavior,Income,Louisiana,,"$75,000 or greater",,,,,34.26666667
Fruits and Vegetables - Behavior,Income,Louisiana,,"Less than $15,000",,,,,48.16666667
Fruits and Vegetables - Behavior,Race/Ethnicity,Louisiana,,,,,,,38.63076923
Fruits and Vegetables - Behavior,Total,Louisiana,,,,,,,40.13333333
Fruits and Vegetables - Behavior,Education,Maine,College graduate,,,,,,17.15
Fruits and Vegetables - Behavior,Education,Maine,High school graduate,,,,,,31.71666667
Fruits and Vegetables - Behavior,Education,Maine,Less than high school,,,,,,39.43333333
Fruits and Vegetables - Behavior,Education,Maine,Some college or technical school,,,,,,23.68333333
Fruits and Vegetables - Behavior,Age (years),Maine,,,,,,,26.85555556
Fruits and Vegetables - Behavior,Gender,Maine,,,Female,,,,22.01666667
Fruits and Vegetables - Behavior,Gender,Maine,,,Male,,,,30.78333333
Fruits and Vegetables - Behavior,Income,Maine,,"$15,000 - $24,999",,,,,31.36666667
Fruits and Vegetables - Behavior,Income,Maine,,"$25,000 - $34,999",,,,,27.06666667
Fruits and Vegetables - Behavior,Income,Maine,,"$35,000 - $49,999",,,,,24.7
Fruits and Vegetables - Behavior,Income,Maine,,"$50,000 - $74,999",,,,,22.53333333
Fruits and Vegetables - Behavior,Income,Maine,,"$75,000 or greater",,,,,18.55
Fruits and Vegetables - Behavior,Income,Maine,,"Less than $15,000",,,,,38.31666667
Fruits and Vegetables - Behavior,Race/Ethnicity,Maine,,,,,,,27.55769231
Fruits and Vegetables - Behavior,Total,Maine,,,,,,,26.21666667
Fruits and Vegetables - Behavior,Education,Maryland,College graduate,,,,,,21.9
Fruits and Vegetables - Behavior,Education,Maryland,High school graduate,,,,,,34.45
Fruits and Vegetables - Behavior,Education,Maryland,Less than high school,,,,,,39.05
Fruits and Vegetables - Behavior,Education,Maryland,Some college or technical school,,,,,,28.71666667
Fruits and Vegetables - Behavior,Age (years),Maryland,,,,,,,29.51666667
Fruits and Vegetables - Behavior,Gender,Maryland,,,Female,,,,26.05
Fruits and Vegetables - Behavior,Gender,Maryland,,,Male,,,,32.43333333
Fruits and Vegetables - Behavior,Income,Maryland,,"$15,000 - $24,999",,,,,34.36666667
Fruits and Vegetables - Behavior,Income,Maryland,,"$25,000 - $34,999",,,,,30.91666667
Fruits and Vegetables - Behavior,Income,Maryland,,"$35,000 - $49,999",,,,,31.41666667
Fruits and Vegetables - Behavior,Income,Maryland,,"$50,000 - $74,999",,,,,27.53333333
Fruits and Vegetables - Behavior,Income,Maryland,,"$75,000 or greater",,,,,23.51666667
Fruits and Vegetables - Behavior,Income,Maryland,,"Less than $15,000",,,,,40.58333333
Fruits and Vegetables - Behavior,Race/Ethnicity,Maryland,,,,,,,28.17276316
Fruits and Vegetables - Behavior,Total,Maryland,,,,,,,29.06666667
